date,cases,deaths,recovered,new_cases,new_deaths,new_recovered,active,case_fatality_rate
2022-11-21,637722023,6623184,,391917,1454,,,1038.56912
2023-02-18,672445835,6782037,,163041,1170,,,1008.562571
2020-04-29,3194858,247154,946190,78966,6282,34012,2001514,7735.993274
2021-02-18,110732668,2538898,,365210,10412,,,2292.817509
2021-04-02,130672126,2957414,,586132,10567,,,2263.232482
2020-09-22,31663190,1036033,21729719,291363,5308,234088,8897438,3272.042394
2022-05-02,514173677,6267483,,559416,2473,,,1218.942797
2023-01-03,660135522,6697891,,478670,1939,,,1014.623631
2023-01-06,662161103,6707695,,497962,2175,,,1013.000457
2020-06-14,7920950,471743,3764317,127946,4707,90713,3684890,5955.636634
2021-02-15,109575729,2504453,,384433,11560,,,2285.591
2021-12-07,267475164,5302426,,625060,8015,,,1982.399383
2022-08-10,587077097,6446943,,989215,2474,,,1098.142481
2020-09-25,32626354,1054273,22488746,293653,5431,242421,9083335,3231.354015
2021-08-23,213074180,4468570,,658048,10025,,,2097.189814
2022-07-24,569710256,6405114,,1106976,2259,,,1124.275706
2020-09-02,26073158,924426,17286594,265963,5626,214516,7862138,3545.508373
2022-06-28,545298364,6356796,,683463,1494,,,1165.746391
2022-08-16,591861735,6461271,,830009,2431,,,1091.685882
2020-02-29,85318,2940,39767,1045,68,2410,42611,3445.931691
2020-08-13,20943125,808761,12990235,263451,6233,206240,7144129,3861.701632
2021-12-24,279420460,5424238,,766576,6883,,,1941.24582
2020-03-23,380971,17507,97909,28345,1455,2875,265555,4595.362902
2020-05-05,3673248,280305,1192758,79706,5724,41227,2200185,7630.984894
2021-09-15,226940410,4687970,,547604,9057,,,2065.727298
2020-04-12,1844782,130401,419880,84952,7356,22970,1294501,7068.640089
2022-02-05,393763287,5765266,,2943645,10517,,,1464.145132
2020-07-21,14952009,665300,8464917,230073,5822,154619,5821792,4449.569285
2022-01-13,321051246,5556070,,2858707,7109,,,1730.586649
2022-07-04,549829237,6364600,,781817,1390,,,1157.559397
2020-05-25,5505069,378360,2220578,100032,4553,63441,2906131,6872.938377
2021-01-29,102404679,2300444,,555195,14573,,,2246.424697
2021-10-05,236384776,4845979,,433211,7375,,,2050.038535
2020-02-09,40098,908,3247,3330,78,394,35943,2264.452092
2021-06-21,179280729,3902677,,358857,8739,,,2176.852483
2022-11-01,630479776,6595390,,337042,1624,,,1046.090652
2020-07-01,10686230,557387,5453745,181198,4741,103219,4675098,5215.936771
2021-03-07,117326201,2698992,,402326,9221,,,2300.417108
2022-02-25,433511736,5967086,,1629904,9021,,,1376.453163
2021-12-30,287010809,5462390,,1206642,6248,,,1903.200099
2022-08-30,601872036,6492814,,661065,2187,,,1078.76984
2022-09-05,605158675,6505067,,576172,2100,,,1074.93576
2021-08-03,200066689,4272280,,604392,9240,,,2135.427952
2022-12-14,649584693,6660187,,573742,1780,,,1025.299252
2023-01-26,668324623,6750048,,232627,2000,,,1009.995408
2020-07-07,11847541,587407,6430920,196626,5046,156115,4829214,4958.049945
2021-03-13,119939032,2755547,,426746,8944,,,2297.456428
2021-11-11,252661115,5110000,,479911,7223,,,2022.471879
2020-10-15,38972725,1166009,26928741,343199,5302,205731,10877975,2991.85905
2022-04-09,498590683,6209499,,1083145,3479,,,1245.410155
2020-03-09,113586,4003,62435,3410,130,2402,47148,3524.201926
2021-02-04,105221631,2377136,,486556,13207,,,2259.170455
2022-01-02,290835357,5476408,,1451069,6283,,,1882.992514
2022-11-30,641963483,6636354,,446880,1297,,,1033.7588
